Aircraft Structures Lab,AVMT 11001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 11001', 'Class/Lecture', '5:30 pm - 9:20 pm', 'WR', 'Harold White HW 170', 'Jan 17, 2024 - May 11, 2024', 'Lab', 'Christopher   Perez (P), Bryan John   Salcepuedes')"
Aircraft Structures Lab,AVMT 11001,002,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 11001', 'Class/Lecture', '7:30 am - 9:30 am', 'MTWR', 'Harold White HW 170', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Bryan John   Salcepuedes (P)')"
Aircraft Electricity 1,AVMT 12000,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('AVMT 12000', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Paul   Dybinski (P)')"
Aircraft Electricity Lab,AVMT 12001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 12001', 'Lab', '5:30 pm - 9:20 pm', 'M', 'Harold White HW 136', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Paul   Dybinski (P)')"
Introduction to A/C Structures and Engine NDT NDE,AVMT 13000,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('AVMT 13000', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Bryan John   Salcepuedes (P)')"
Introduction to A/C Structures and Engine NDT/NDE Lab,AVMT 13001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 13001', 'Lab', '5:30 pm - 7:20 pm', 'F', 'Harold White HW 170', 'Jan 19, 2024 - May 11, 2024', 'Lab', 'Bryan John   Salcepuedes (P)')"
Drafting and Blueprint Reading,AVMT 13500,001,,,,Online Campus,Lecture Schedule Type,Online Instructional Method,"('AVMT 13500', 'Online', 'TBA', '', 'Online Meeting', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Bryan W  Doughty (P)')"
Aircraft Instruments,AVMT 20000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('AVMT 20000', 'Class/Lecture', '10:00 am - 11:50 am', 'MW', 'Harold White HW 131', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Louis P  Perillo (P)')"
Aircraft Instruments Lab,AVMT 20001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 20001', 'Lab', '1:00 pm - 4:50 pm', 'M', 'Harold White HW 160', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Louis P  Perillo (P)')"
Aircraft Instruments Lab,AVMT 20001,002,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 20001', 'Lab', '1:00 pm - 4:50 pm', 'W', 'Harold White HW 160', 'Jan 17, 2024 - May 11, 2024', 'Lab', 'Louis P  Perillo (P)')"
Aviation Physics 1,AVMT 20100,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('AVMT 20100', 'Class/Lecture', '8:00 am - 9:50 am', 'TR', 'Harold White HW 131', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Edward E  Meyer (P)')"
Aircraft Structures 2,AVMT 21000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('AVMT 21000', 'Class/Lecture', '8:00 am - 9:50 am', 'MW', 'Harold White HW 131', 'Jan 17, 2024 - May 11, 2024', 'Lecture', 'Bryan W  Doughty (P)')"
Aircraft Structures 2 Lab,AVMT 21001,001,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 21001', 'Lab', '1:00 pm - 4:50 pm', 'TW', 'Harold White HW 170', 'Jan 16, 2024 - May 11, 2024', 'Lab', 'Bryan W  Doughty (P)')"
Aircraft Structures 2 Lab,AVMT 21001,002,,,,Romeoville Campus,Lab Schedule Type,Traditional Instructional Method,"('AVMT 21001', 'Lab', '1:00 pm - 4:50 pm', 'MR', 'Harold White HW 170', 'Jan 19, 2024 - May 11, 2024', 'Lab', 'Bryan W  Doughty (P)')"
Aircraft Electricity 2,AVMT 22000,001,,,,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,"('AVMT 22000', 'Class/Lecture', '10:00 am - 11:50 am', 'TR', 'Harold White HW 131', 'Jan 16, 2024 - May 11, 2024', 'Lecture', 'Brian J  Kozak (P)')"
